X,Y,gbifID,datasetKey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonRank,scientific,BO_Name,verbatimSc,verbatim_1,countryCod,locality,stateProvi,occurren_1,individual,publishing,decimalLat,decimalLon,coordinate,coordina_1,elevation,elevationA,depth,depthAccur,eventDate,day,month,year,1,2,3,4,5,6,taxonKey,speciesKey,basisOfRec,institutio,collection,catalogNum,recordNumb,identified,dateIdenti,license,rightsHold,recordedBy,typeStatus,establishm,lastInterp,mediaType,issue,FID,BL_KZ,BL,ST_KZ,ST,FL,FL_KM,STAND,SHAPE_Leng,SHAPE_Area,RASTERF,QUADR,INSIDE,BLAND,FELD_IN_A,X_COORD,Y_COORD,GFELD,GFELD_Y,GFELD_X,QU,icon_url
10.70834,47.225,3885365435,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Mils b. Imst,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.210000000000001,10.670000000000000,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2826562",,,,CC0_1_0,,,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87303",8730/3,"100",AT,QU,10.708340000000000,47.225000000000001,"8730","87","30","3",./0.png
11.45835,47.275,3885334808,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Weiherburg (Innsbruck),,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.270000000000003,11.420000000000000,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2796016",,,,CC0_1_0,,,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87342",8734/2,"100",AT,QU,11.458349999999999,47.274999999999999,"8734","87","34","2",./0.png
11.37501,47.275,3885239171,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,M??hlau b. Innsbruck,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.280000000000001,11.400000000000000,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2795471",,,,CC0_1_0,,,,,13.01.2023 09:21:13,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
12.04168,47.525,3885225053,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Kirchbichl SW Kufstein,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.509999999999998,12.080000000000000,"500",,,,,,21.06.1932 00:00:00,"21","6","1932","1","0","0","0","0","1","10320833","5882965",OCCURRENCE,LI,ZOBODAT,"2864900",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:12,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"84383",8438/3,"100",AT,QU,12.041679999999999,47.524999999999999,"8438","84","38","3",./0.png
10.87501,47.175,3885056912,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,?–tz,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.200000000000003,10.890000000000001,"500",,,,,,01.07.1911 00:00:00,,"7","1911","1","0","0","0","0","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2855421",,,,CC0_1_0,,,,,13.01.2023 09:21:28,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88311",8831/1,"100",AT,QU,10.875010000000000,47.174999999999997,"8831","88","31","1",./0.png
12.04168,47.475,3884912721,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,W?¶rgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.479999999999997,12.060000000000000,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",OCCURRENCE,LI,ZOBODAT,"2850821",,,,CC0_1_0,,Schuler N.,,,13.01.2023 09:21:09,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85381",8538/1,"100",AT,QU,12.041679999999999,47.475000000000001,"8538","85","38","1",./0.png
11.45835,47.275,3882892444,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Amraser Au b.Innsbruck,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.259999999999998,11.440000000000000,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2797085",,,,CC0_1_0,,,,,13.01.2023 09:20:02,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87342",8734/2,"100",AT,QU,11.458349999999999,47.274999999999999,"8734","87","34","2",./0.png
11.70835,47.375,3882827786,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Tratzberg bei Stans,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.380000000000003,11.740000000000000,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2826948",,,,CC0_1_0,,,,,13.01.2023 09:20:01,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86361",8636/1,"100",AT,QU,11.708349999999999,47.375000000000000,"8636","86","36","1",./0.png
11.37501,47.275,3882667334,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Innsbruck,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.259999999999998,11.389722000000001,"500",,,,,,,,,,"0","0","0","0","1","1","10320833","5882965",MATERIAL_CITATION,LI,ZOBODAT,"2765878",,,,CC0_1_0,,,,,13.01.2023 09:20:01,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
12.04168,47.525,3882663185,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,,SPECIES,"Satyrium w-album (Knoch, 1782)","Satyrium w-album (Knoch, 1782)","Strymon w-album Knoch, 1782",,AT,Kirchbichl SW Kufstein,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.509999999999998,12.080000000000000,"500",,,,,,04.05.1932 00:00:00,"4","5","1932","1","0","0","0","0","1","10320833","5882965",OCCURRENCE,LI,ZOBODAT,"2864898",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:20:01,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"84383",8438/3,"100",AT,QU,12.041679999999999,47.524999999999999,"8438","84","38","3",./0.png
